# rice benchmark results: M7-lifecycle
# date: 2026-09-18T10:30:33Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkChainDispatch5Grouped-12    	31732948	        37.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31958666	        37.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31944345	        37.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31986210	        37.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31809566	        37.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32025157	        37.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31699663	        37.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31948704	        37.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuild1000Routes-12          	    5140	    232863 ns/op	  265004 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5086	    233218 ns/op	  265002 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5127	    234058 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5146	    233709 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5193	    233544 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5119	    233323 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5110	    234374 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5138	    232815 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5001	    234677 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5210	    233680 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8988 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9020 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9058 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9057 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8973 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8973 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8900 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9021 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8999 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8943 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	398531300	         2.949 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407052465	         2.963 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	406947842	         2.956 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407204580	         2.990 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	399630728	         2.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	392661376	         3.019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	400621351	         2.998 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	400345797	         2.993 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	399832347	         3.007 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	399145329	         2.996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31549852	        38.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31262007	        38.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31618332	        38.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31563302	        38.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31511914	        38.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31595506	        38.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31582410	        38.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31611702	        38.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31586566	        38.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31438507	        38.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchHTTPError-12        	21736586	        55.49 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	20860298	        54.73 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21788124	        54.87 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21826018	        54.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21865390	        54.95 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21856944	        54.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	22023079	        54.70 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21725911	        54.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21670722	        55.10 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	22002501	        54.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	46248566	        25.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46192116	        25.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46322136	        26.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46274797	        25.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46352030	        25.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46217098	        25.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	44860022	        26.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46379650	        25.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	45963511	        25.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	46313418	        25.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPanic-12            	  158133	      7578 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158089	      7568 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158570	      7574 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158638	      7576 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  153073	      7600 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158311	      7567 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158691	      7561 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158840	      7572 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158436	      7576 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  158277	      7550 ns/op	    3121 B/op	       3 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103636258 ns/op	        95.81 ms/shutdown	   45038 B/op	     216 allocs/op
