# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDeferRecoverOverhead-12     	410968932	         2.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	409637402	         2.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	409248445	         2.941 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	406572240	         2.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32300864	        37.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32492146	        37.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32084989	        37.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32105913	        37.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32637555	        37.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32235244	        37.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32238926	        37.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	32555283	        37.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31165558	        37.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31992925	        37.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchHTTPError-12        	23369452	        51.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23374650	        51.56 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23366419	        51.58 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23103802	        51.53 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23495204	        51.75 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	22948480	        51.72 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23208830	        51.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23273629	        51.57 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23310814	        51.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	22870592	        51.65 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	49279458	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49425854	        24.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49046322	        24.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49094144	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49330188	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49085024	        24.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49339315	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49084437	        24.44 ns/op	       0 B/op	       0 allocs/op
