# rice benchmark results: M4-middleware-and-groups
# date: 2026-09-12T04:52:35Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkCtxSetHeader-12             	 9333886	       128.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9347601	       128.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9389166	       128.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9433010	       127.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9364144	       128.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9386029	       128.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9309526	       128.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9337678	       128.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 8794897	       135.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 9032797	       140.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkMapLookup10-12              	189501135	         9.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	187416784	         6.356 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	188008306	         6.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	191046663	         6.283 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	191216115	         6.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	191737000	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	191078542	         6.269 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	190843803	         6.322 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	180456633	         6.288 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	191043926	         6.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	193116716	         6.386 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	193105982	         6.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	163113002	         6.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	184495946	         6.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	182220561	         6.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194729892	         6.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	197106422	         6.086 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	197646184	         6.998 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	198421843	         6.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	196070301	         6.111 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	189322836	         6.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	190962398	         6.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	180810619	         6.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	191101491	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	190749079	         6.314 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	188692596	         6.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	188922217	         6.346 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	182164316	         6.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	189818066	         6.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	188762360	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	13096326	        98.38 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12817556	        94.53 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12481964	        94.70 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12364510	        94.53 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12244870	        96.21 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	11953704	        94.51 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12990052	        99.38 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12265694	        95.49 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12963022	        94.29 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	12812270	        94.41 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	11984898	       100.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	11788474	        97.22 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	12254223	        98.20 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	12343810	       101.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	12456315	        99.83 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	12375332	       105.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	11622172	       105.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	11282842	       103.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	12026176	       102.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	11831275	       105.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	11299159	       110.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10603000	       118.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10870725	       113.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	11045811	       112.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10947897	       124.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10073906	       118.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10946499	       115.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10094116	       129.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10071937	       112.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	10979341	       110.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13091800	        89.97 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13454680	        90.33 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13392240	        88.99 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13341066	        96.93 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	12817836	        90.42 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	12887289	        94.02 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	11998089	       102.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13351506	        90.85 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13613042	        89.95 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	13413040	        88.95 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10516010	       111.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10552329	       111.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10207665	       109.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10858639	       114.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10501332	       110.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10768416	       114.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10589870	       112.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10760526	       111.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10751186	       114.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	10244895	       114.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13193198	        89.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13494486	        89.76 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13549370	        94.78 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	12978362	        90.53 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13422524	        90.19 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13603256	        89.47 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13495528	        91.24 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	12162162	        90.12 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	13600294	        98.34 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	11803389	       100.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11469067	       105.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	12912001	        96.83 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	12533143	       101.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	12159321	       110.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11606331	       106.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11755586	       102.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11542382	       109.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11496445	       109.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	10380622	       110.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	11828607	       105.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 8806353	       125.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10253521	       128.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10377177	       118.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10163848	       115.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 9905842	       118.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10296109	       117.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10282096	       114.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10361064	       117.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10225652	       122.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10443205	       115.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10737210	       113.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10125962	       114.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10441474	       117.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10539420	       118.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	 9635593	       117.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	 9909104	       116.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10797642	       117.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	 9962850	       118.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10307348	       115.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10312356	       119.7 ns/op	     352 B/op	       1 allocs/op
PASS
ok  	github.com/vietpham102301/rice-http/bench	305.393s
