# rice benchmark results: post-M8-static-files
# date: 2026-09-24T19:06:56Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatch404-12              	31519674	        38.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31311255	        38.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31463443	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31459490	        38.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31506847	        38.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchHTTPError-12        	22750126	        51.93 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23028890	        51.86 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23154624	        51.84 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23082748	        52.13 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23153469	        52.00 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	22971068	        52.06 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23049090	        52.19 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23182935	        51.96 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	21786145	        51.75 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	23246540	        51.91 ns/op	      48 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	48995421	        24.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49506906	        24.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49609922	        24.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49702046	        24.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49632752	        24.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49686696	        24.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49708136	        24.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49698958	        24.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49650121	        24.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49677870	        24.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPanic-12            	  161112	      7401 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  163075	      7423 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  160634	      7413 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162709	      7382 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162014	      7396 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  161767	      7375 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162297	      7391 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  161991	      7429 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162718	      7383 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162548	      7399 ns/op	    3121 B/op	       3 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.20 ns/op	       0 B/op	       0 allocs/op
