# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/param/fiber-12         	16544439	        72.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16572514	        72.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16300028	        72.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16622100	        72.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20055555	        59.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20159935	        59.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	19865685	        59.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20071406	        60.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	19966762	        60.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20130709	        60.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	19394030	        59.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	19739384	        59.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20066120	        59.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/rice-12    	20240566	        59.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/gin-12     	11897806	        94.66 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	12116295	        95.21 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	12016406	        94.87 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	12338628	        95.52 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	12170174	        97.94 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	11569837	        98.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	11669182	        98.12 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	11903029	       100.7 ns/op	      48 B/op	       1 allocs/op
