# rice benchmark results: M5-error-handling
# date: 2026-09-14T15:14:21Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkMapLookup100-12             	194506488	         6.169 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194301579	         6.145 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194535220	         6.201 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	193310438	         6.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	186517660	         6.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	187825845	         6.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	186771057	         6.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	185905700	         6.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	186576385	         6.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	186402458	         6.474 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	176698845	         6.472 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	187262130	         6.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	187631451	         6.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	188023638	         6.412 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	 9375210	       127.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	 9787352	       128.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	 9543793	       134.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	10094658	       117.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	 9252524	       123.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	 9904090	       121.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	10033744	       116.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	10442848	       117.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	 9481506	       116.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12             	10539462	       116.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	10308049	       133.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9239185	       126.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9516265	       150.1 ns/op	     352 B/op	       1 allocs/op
